"","scri_sample_id","sample_type","sample_filter","fc","fc_methodf","fc_methodm","fc_methodc"
"285","acap_910","grabsample","membrane",27.5,"sm9222d","sm9222","membranefiltration"
"286","acap_906","grabsample","membrane",24.2,"sm9222d","sm9222","membranefiltration"
"287","acap_899","grabsample","membrane",16.5,"sm9222d","sm9222","membranefiltration"
"288","acap_898","grabsample","membrane",12,"sm9222d","sm9222","membranefiltration"
"289","acap_319","grabsample","membrane",0,"sm9222d","sm9222","membranefiltration"
"290","acap_347","grabsample","membrane",49,"sm9222d","sm9222","membranefiltration"
"291","acap_326","grabsample","membrane",1,"sm9222d","sm9222","membranefiltration"
"292","acap_337","grabsample","membrane",5.5,"sm9222d","sm9222","membranefiltration"
"293","acap_327","grabsample","membrane",1,"sm9222d","sm9222","membranefiltration"
"294","acap_612","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
"295","acap_637","grabsample","membrane",4536,"sm9222d","sm9222","membranefiltration"
"296","acap_611","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
"297","acap_623","grabsample","membrane",54,"sm9222d","sm9222","membranefiltration"
"298","acap_575","grabsample","membrane",25,"sm9222d","sm9222","membranefiltration"
"299","acap_1244","grabsample","membrane",290,"sm9222d","sm9222","membranefiltration"
"300","acap_1248","grabsample","membrane",660,"sm9222d","sm9222","membranefiltration"
"301","acap_1227","grabsample","membrane",68,"sm9222d","sm9222","membranefiltration"
"302","acap_1241","grabsample","membrane",225,"sm9222d","sm9222","membranefiltration"
"303","acap_1216","grabsample","membrane",15,"sm9222d","sm9222","membranefiltration"
"304","acap_1250","grabsample","membrane",1050,"sm9222d","sm9222","membranefiltration"
"305","acap_1230","grabsample","membrane",80,"sm9222d","sm9222","membranefiltration"
"306","acap_1225","grabsample","membrane",60,"sm9222d","sm9222","membranefiltration"
"307","acap_1233","grabsample","membrane",150,"sm9222d","sm9222","membranefiltration"
"308","acap_1299","grabsample","membrane",1320,"sm9222d","sm9222","membranefiltration"
"309","acap_1276","grabsample","membrane",50,"sm9222d","sm9222","membranefiltration"
"310","acap_1294","grabsample","membrane",620,"sm9222d","sm9222","membranefiltration"
"311","acap_1302","grabsample","membrane",2000,"sm9222d","sm9222","membranefiltration"
"312","acap_1284","grabsample","membrane",100,"sm9222d","sm9222","membranefiltration"
"313","acap_1291","grabsample","membrane",267,"sm9222d","sm9222","membranefiltration"
"314","acap_1298","grabsample","membrane",1170,"sm9222d","sm9222","membranefiltration"
"315","acap_1285","grabsample","membrane",120,"sm9222d","sm9222","membranefiltration"
"316","acap_1290","grabsample","membrane",220,"sm9222d","sm9222","membranefiltration"
"317","acap_144","grabsample","membrane",4,"sm9222d","sm9222","membranefiltration"
"318","acap_145","grabsample","membrane",30,"sm9222d","sm9222","membranefiltration"
"319","acap_146","grabsample","membrane",3600,"sm9222d","sm9222","membranefiltration"
"320","acap_143","grabsample","membrane",0,"sm9222d","sm9222","membranefiltration"
"321","acap_1155","grabsample","membrane",0,"sm9222d","sm9222","membranefiltration"
"322","acap_1153","grabsample","membrane",0,"sm9222d","sm9222","membranefiltration"
"323","acap_1154","grabsample","membrane",0,"sm9222d","sm9222","membranefiltration"
"324","acap_1160","grabsample","membrane",3,"sm9222d","sm9222","membranefiltration"
"325","acap_1205","grabsample","membrane",301,"sm9222d","sm9222","membranefiltration"
"326","acap_1207","grabsample","membrane",728,"sm9222d","sm9222","membranefiltration"
"327","acap_1158","grabsample","membrane",2,"sm9222d","sm9222","membranefiltration"
"328","acap_202","grabsample","membrane",164,"sm9222d","sm9222","membranefiltration"
"329","acap_173","grabsample","membrane",10,"sm9222d","sm9222","membranefiltration"
"330","acap_195","grabsample","membrane",55,"sm9222d","sm9222","membranefiltration"
"331","acap_203","grabsample","membrane",199,"sm9222d","sm9222","membranefiltration"
"332","acap_180","grabsample","membrane",16,"sm9222d","sm9222","membranefiltration"
"333","acap_172","grabsample","membrane",10,"sm9222d","sm9222","membranefiltration"
"334","acap_192","grabsample","membrane",47,"sm9222d","sm9222","membranefiltration"
"335","acap_160","grabsample","membrane",0,"sm9222d","sm9222","membranefiltration"
"336","acap_241","grabsample","membrane",43,"sm9222d","sm9222","membranefiltration"
"337","acap_210","grabsample","membrane",5,"sm9222d","sm9222","membranefiltration"
"338","acap_219","grabsample","membrane",15,"sm9222d","sm9222","membranefiltration"
"339","acap_242","grabsample","membrane",45,"sm9222d","sm9222","membranefiltration"
"340","acap_260","grabsample","membrane",898,"sm9222d","sm9222","membranefiltration"
"341","acap_226","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
"342","acap_235","grabsample","membrane",35,"sm9222d","sm9222","membranefiltration"
"343","acap_224","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
"344","acap_225","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
