"","study_sh","scri_sample_id","date","state","cens.region","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","fc","fc_methodf","fc_methodm","fc_methodc"
"117","ladeq","leau_647","1981-02-09","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",110,"sm9222e","sm9222","membranefiltration"
"118","ladeq","leau_650","1981-04-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",50,"sm9222e","sm9222","membranefiltration"
"119","ladeq","leau_651","1981-06-08","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",330,"sm9222e","sm9222","membranefiltration"
"120","ladeq","leau_656","1981-08-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",70,"sm9222e","sm9222","membranefiltration"
"121","ladeq","leau_658","1981-09-14","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",50,"sm9222e","sm9222","membranefiltration"
"122","ladeq","leau_662","1981-05-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",310,"sm9222e","sm9222","membranefiltration"
"123","ladeq","leau_670","1981-11-16","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",20,"sm9222e","sm9222","membranefiltration"
"124","ladeq","leau_652","1981-07-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",40,"sm9222e","sm9222","membranefiltration"
"125","ladeq","leau_671","1981-12-14","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",310,"sm9222e","sm9222","membranefiltration"
"126","ladeq","leau_372","1981-09-14","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",20,"sm9222e","sm9222","membranefiltration"
"127","ladeq","leau_373","1981-05-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",230,"sm9222e","sm9222","membranefiltration"
"128","ladeq","leau_357","1981-02-09","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",110,"sm9222e","sm9222","membranefiltration"
"129","ladeq","leau_361","1981-08-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",20,"sm9222e","sm9222","membranefiltration"
"130","ladeq","leau_362","1981-11-16","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",79,"sm9222e","sm9222","membranefiltration"
"131","ladeq","leau_363","1981-01-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",33,"sm9222e","sm9222","membranefiltration"
"132","ladeq","leau_368","1981-04-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",20,"sm9222e","sm9222","membranefiltration"
"133","ladeq","leau_369","1981-06-08","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",2400,"sm9222e","sm9222","membranefiltration"
"134","ladeq","leau_370","1981-12-14","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",33,"sm9222e","sm9222","membranefiltration"
"135","ladeq","leau_386","1981-07-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",220,"sm9222e","sm9222","membranefiltration"
"136","ladeq","leau_390","1981-10-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",33,"sm9222e","sm9222","membranefiltration"
"137","ladeq","leau_81","1981-01-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",46,"sm9222e","sm9222","membranefiltration"
"138","ladeq","leau_82","1981-02-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",490,"sm9222e","sm9222","membranefiltration"
"139","ladeq","leau_83","1981-04-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",460,"sm9222e","sm9222","membranefiltration"
"140","ladeq","leau_84","1981-05-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",2300,"sm9222e","sm9222","membranefiltration"
